科名,family_c,學名,主要中名,refsource之第一筆,參考連結之第一筆
Erebidae,裳蛾科,Utetheisa pulchelloides vaga,普三色星燈蛾,認識台灣的昆蟲 7 燈蛾科 ;  Page : 11,#https://www.facebook.com/photo.php?fbid=333961756761630&set=gm.673589049400510&type=1&theater#
Erebidae,裳蛾科,Vamuna alboluteora,黃黑瓦苔蛾,合歡山的蛾 ;  Page : 311,#https://www.facebook.com/photo.php?fbid=391533204318885&set=o.458912734201477&type=3&theater#
Eupterotidae,帶蛾科,Ganisa postica formosicola,灰紋帶蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 10,#https://www.facebook.com/photo.php?fbid=803658986318860&set=o.458912734201477&type=3&theater#
Eupterotidae,帶蛾科,Palirisa cervina formosana,褐帶蛾,認識台灣的昆蟲 10 蘿紋娥科 帶蛾科 大?蛾科 ?蛾科 舟蛾科 ;  Page : 13,#https://www.facebook.com/photo.php?fbid=903010176391473&set=gm.790277607651133&type=1#
Euteliidae,尾夜蛾科,Atacira affinis,,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 284,#https://www.facebook.com/photo.php?fbid=459604967460374&set=oa.458927214200029&type=3&theater#
Euteliidae,尾夜蛾科,Phalga clarirena,清波尾夜蛾,認識台灣的昆蟲 8 夜蛾科--台灣及其他地區之比較 ;  Page : 289,#https://www.facebook.com/photo.php?fbid=768542809846464&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Acolutha pictaria imbecilla,前褐帶黃波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 338,#https://www.facebook.com/photo.php?fbid=394737540578931&set=o.177883715557195&type=1&ref=nf#
Geometridae,尺蛾科,Acolutha pulchella semifulva,,,#https://www.facebook.com/photo.php?fbid=756642254369853&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Aethalura duplicata,雙線歪紋小尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 216,#https://www.facebook.com/photo.php?fbid=858296800850322&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Agaraeus discolor,,,#https://www.facebook.com/photo.php?fbid=343047369153615&set=oa.589852744440808&type=3&theater#
Geometridae,尺蛾科,Agathia diversiformis,短尾豔青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 49,#https://www.facebook.com/photo.php?fbid=371741352927515&set=gm.611075408904688&type=1&theater#
Geometridae,尺蛾科,Agathia hemithearia,烏雲豔青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 48,#https://www.facebook.com/photo.php?fbid=4106744076930&set=o.177883715557195&type=3&theater#
Geometridae,尺蛾科,Agathia laetata,Y紋豔青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 45,#https://www.facebook.com/photo.php?fbid=597215603718737&set=oa.626549394104476&type=3&theater#
Geometridae,尺蛾科,Agathia lycaenaria,豔青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 44,#https://www.facebook.com/photo.php?fbid=792176257467304&set=gm.660090204083728&type=1&theater#
Geometridae,尺蛾科,Agathia magnificentia,大豔青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 46,#https://www.facebook.com/photo.php?fbid=686350171436801&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Agathia visenda curvifiniens,焦斑豔青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 47,#https://www.facebook.com/photo.php?fbid=464034373684100&set=oa.458927214200029&type=3&theater#
Geometridae,尺蛾科,Alcis maculata,,,#https://www.facebook.com/photo.php?fbid=288143881321030&set=oa.467684346657649&type=3&theater#
Geometridae,尺蛾科,Amblychia angeronaria,白斑褐尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 253,#https://www.facebook.com/photo.php?fbid=4106735516716&set=o.177883715557195&type=3&theater#
Geometridae,尺蛾科,Antitrygodes divisaria perturbatus,綠斑姬尺蛾,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=650209865005853&set=oa.460230424069708&type=3&theater#
Geometridae,尺蛾科,Aplochlora costipicta,褐綠尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 313,#https://www.facebook.com/photo.php?fbid=460946157326255&set=oa.458927214200029&type=3&theater#
Geometridae,尺蛾科,Argyrocosma inductaria,,,#https://www.facebook.com/photo.php?fbid=755052267850565&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Asthena undulata,煙斗紋波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 335,#https://www.facebook.com/photo.php?fbid=394742623911756&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Biston perclarus,淡黃突峰尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 274,#https://www.facebook.com/photo.php?fbid=136419029880692&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Biston regalis comitatus,雙雲突峰尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 270,#https://www.facebook.com/photo.php?fbid=464656346951986&set=oa.459494137476670&type=3&theater#
Geometridae,尺蛾科,Borbacha pardaria,黃豹尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 72,#https://www.facebook.com/photo.php?fbid=760454950654901&set=gm.785169811495246&type=1#
Geometridae,尺蛾科,Calletaera postvittata,黑線小尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 95,#https://www.facebook.com/photo.php?fbid=10203431557183623&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Callygris compositata basistrigaria,地錦波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 282,#https://www.facebook.com/photo.php?fbid=765345236832888&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Carige scutilimbata,窗紋波姬尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 227,#https://www.facebook.com/photo.php?fbid=765630673457452&set=gm.654429517983130&type=1&theater#
Geometridae,尺蛾科,Catarhoe obscura,,,#https://www.facebook.com/photo.php?fbid=479077448893335&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Catoria olivescens,,,#https://www.facebook.com/photo.php?fbid=461358430618361&set=oa.461679043924846&type=3&theater#
Geometridae,尺蛾科,Catoria sublavaria,點紋灰尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 206,#https://www.facebook.com/photo.php?fbid=869674086383071&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Celenna festivaria formosensis,綠紋尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 363,#https://www.facebook.com/photo.php?fbid=393933160659369&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Chaetolopha incurvata,明池波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 347,#https://www.facebook.com/photo.php?fbid=458829470871257&set=oa.458927214200029&type=3&theater#
Geometridae,尺蛾科,Chartographa convexa,,Lepidoptera of Taiwan Volume 1 ;  Page : 126,#https://www.facebook.com/photo.php?fbid=10202796587827029&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Chiasmia eleonora,白帶尾尺蛾,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=422345814456715&set=o.177883715557195&type=3&theater#
Geometridae,尺蛾科,Chiasmia emersaria,刺尾尺蛾,台灣蛾類圖說四 ;  Page : 224,#https://www.facebook.com/photo.php?fbid=419751208131845&set=oa.462259177200166&type=3&theater#
Geometridae,尺蛾科,Chiasmia inchoata,污帶尾尺蛾,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=3348542872639&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Chiasmia intermediaria,四黑斑尾尺蛾,台灣蛾類圖說四 ;  Page : 226,#https://www.facebook.com/photo.php?fbid=3306368058295&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Chlorodontopera taiwana,台灣四眼綠尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 52,#https://www.facebook.com/photo.php?fbid=667834669899516&set=oa.462151650544252&type=3&theater#
Geometridae,尺蛾科,Chorodna creataria,褐枯尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 257,#https://www.facebook.com/photo.php?fbid=820106701341354&set=gm.697623876997027&type=1&theater#
Geometridae,尺蛾科,Chorodna ochreimacula,黃枯尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 256,#https://www.facebook.com/photo.php?fbid=351096171678977&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Chrysocraspeda sanguinea,三角赤姬尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 129,#http://www.facebook.com/photo.php?fbid=393934297325922&set=o.177883715557195&type=1&ref=nf#
Geometridae,尺蛾科,Cleora alienaria,,,#https://www.facebook.com/photo.php?fbid=343047175820301&set=oa.589852744440808&type=3&theater#
Geometridae,尺蛾科,Cleora fraterna,黑腰鋸尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 195,#https://www.facebook.com/photo.php?fbid=461357600618444&set=oa.461679043924846&type=3&theater#
Geometridae,尺蛾科,Cleora injectaria,,,#https://www.facebook.com/photo.php?fbid=10203124022975385&set=gm.785827821429445&type=1#
Geometridae,尺蛾科,Collix stellata,緣白星波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 396,#https://www.facebook.com/photo.php?fbid=459208414166696&set=oa.458927214200029&type=3&theater#
Geometridae,尺蛾科,Comibaena procumbaria,白腎紋綠尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 70,#https://www.facebook.com/photo.php?fbid=229607850484259&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Comostola laesaria,小四圈青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 119,#https://www.facebook.com/photo.php?fbid=256883467787323&set=oa.465717243521026&type=3&theater#
Geometridae,尺蛾科,Comostola subtiliaria demeritaria,長斑四圈青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 118,#https://www.facebook.com/photo.php?fbid=398420020210683&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Corymica arnearia,白點圓窗黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 377,#https://www.facebook.com/photo.php?fbid=653446314672131&set=oa.461210637305020&type=1&theater#
Geometridae,尺蛾科,Corymica deducta,褐帶圓窗黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 381,#https://www.facebook.com/photo.php?fbid=891731040842791&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Corymica pryeri,滿月圓窗黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 380,#https://www.facebook.com/photo.php?fbid=334265103327695&set=oa.457274324284798&type=1&theater#
Geometridae,尺蛾科,Corymica spatiosa,細紋圓窗黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 379,#https://www.facebook.com/photo.php?fbid=489917104355762&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Cusiala boarmioides,白波緣尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 205,#https://www.facebook.com/photo.php?fbid=465396213547916&set=oa.458927214200029&type=3&theater#
Geometridae,尺蛾科,Cystidia stratonice,蜻尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 120,#http://www.facebook.com/photo.php?fbid=507188575981890&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Dindica polyphaenaria,裏黃峰尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 39,#https://www.facebook.com/photo.php?fbid=257463497729320&set=oa.465717243521026&type=3&theater#
Geometridae,尺蛾科,Dindica taiwana,台灣峰尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 40,#https://www.facebook.com/photo.php?fbid=226763340773654&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Dischidesia cinerea,白鋸小黑尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 249,#https://www.facebook.com/photo.php?fbid=205363182925355&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Discoglypha locupletata,銀掌紋姬尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 125,#http://www.facebook.com/photo.php?fbid=3311145777735&set=o.177883715557195&type=1&ref=nf#
Geometridae,尺蛾科,Dysstroma fumata,烏滌尺蛾,鞍馬山的蛾1 ;  Page : 59,#https://www.facebook.com/photo.php?fbid=858296657517003&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Ecliptopera benigna,大齒紋波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 294,#https://www.facebook.com/photo.php?fbid=331689310289421&set=oa.589852744440808&type=3&theater#
Geometridae,尺蛾科,Ecliptopera delecta,三角齒紋波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 298,#https://www.facebook.com/photo.php?fbid=779146282119450&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Ecliptopera rectilinea kanshinensis,土黃齒紋波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 297,#https://www.facebook.com/photo.php?fbid=332863406838678&set=oa.589852744440808&type=3&theater#
Geometridae,尺蛾科,Ectropis bhurmitra,淡猗尺蛾,鞍馬山的蛾1 ;  Page : 24,#https://www.facebook.com/photo.php?fbid=597215760385388&set=oa.626549394104476&type=3&theater#
Geometridae,尺蛾科,Entomopteryx rubridisca,雙目安尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 346,#http://www.facebook.com/photo.php?fbid=295730640510558&set=o.177883715557195&type=1&ref=nf#
Geometridae,尺蛾科,Epobeidia tigrata maxima,大斑豹紋尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 125,#https://www.facebook.com/photo.php?fbid=880772305271562&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Eucosmabraxas octoscripta,豹斑波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 281,#https://www.facebook.com/photo.php?fbid=472347489446057&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Eulithis subalba,白珠波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 283,#https://www.facebook.com/photo.php?fbid=765345236832888&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Eumelea ludovicata,雌黃粉尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 21,#https://www.facebook.com/photo.php?fbid=584294538277839&set=oa.463074407118643&type=3&theater#
Geometridae,尺蛾科,Euryobeidia languidata,黑斑尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 126,#https://www.facebook.com/photo.php?fbid=252350001635135&set=oa.660196844073064&type=1&permPage=1#
Geometridae,尺蛾科,Euryobeidia largeteaui,豹紋尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 127,#https://www.facebook.com/photo.php?fbid=738867602802529&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Eustroma contorta,,,#https://www.facebook.com/photo.php?fbid=820110288007662&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Fascellina chromataria,褐缺口尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 336,#https://www.facebook.com/photo.php?fbid=10150828442680583&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Garaeus apicata formosanus,,,#https://www.facebook.com/photo.php?fbid=653450798005016&set=oa.461210637305020&type=1&theater#
Geometridae,尺蛾科,Gasterocome pannosaria orta,綠絨雙斑尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 202,#https://www.facebook.com/photo.php?fbid=879773242038544&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Gnophos delitescens,灰隱絨尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 245,#https://www.facebook.com/photo.php?fbid=224156157696095&set=o.177883715557195&type=3&theater#
Geometridae,尺蛾科,Gonodontis pallida,,,#https://www.facebook.com/photo.php?fbid=837264296301497&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Harutaea flavizona,黃戴褐尺蛾,鞍馬山的蛾1 ;  Page : ,#https://www.facebook.com/photo.php?fbid=464510560303148&set=oa.458927214200029&type=3&theater#
Geometridae,尺蛾科,Harutalcis fumigata,帶紋星尺蛾,鞍馬山的蛾1 ;  Page : 27,#https://www.facebook.com/photo.php?fbid=288145481320870&set=oa.467684346657649&type=3&theater#
Geometridae,尺蛾科,Hastina subfalcaria caeruleolineata,黑歷尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 246,#https://www.facebook.com/photo.php?fbid=452471258180374&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Hemithea aquamarina,翠銹腰青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 103,#https://www.facebook.com/photo.php?fbid=393939183992100&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Herochroma cristata,塔綠粉尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 29,#https://www.facebook.com/photo.php?fbid=623858970976999&set=o.458912734201477&type=3&permPage=1#
Geometridae,尺蛾科,Herochroma supraviridaria,,Waiting for collect ;  Page : ,#https://www.facebook.com/photo.php?fbid=842468102435719&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Heteralex aspersa formosana,慧尺蛾,台灣蛾類圖說三 ;  Page : 9,#https://www.facebook.com/photo.php?fbid=653448724671890&set=oa.461210637305020&type=1&theater#
Geometridae,尺蛾科,Heterolocha coccinea,紫紅斑小黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 371,#https://www.facebook.com/photo.php?fbid=653449848005111&set=oa.461210637305020&type=1&theater#
Geometridae,尺蛾科,Heterophleps taiwana,台灣四斑波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 232,#https://www.facebook.com/photo.php?fbid=246282372241898&set=oa.649040601855355&type=1&theater#
Geometridae,尺蛾科,Heterophleps variegata,白線四斑波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 231,#https://www.facebook.com/photo.php?fbid=618880911534141&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Heterostegane subtessellata,大斑四格尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 33,#http://www.facebook.com/photo.php?fbid=3212633434988&set=o.177883715557195&type=1&ref=nf#
Geometridae,尺蛾科,Hypochrosis baenzigeri,吸淚斑尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 360,#https://www.facebook.com/photo.php?fbid=838337036194223&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Hypocometa clauda,橄欖綠波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 245,#https://www.facebook.com/photo.php?fbid=224156521029392&set=o.177883715557195&type=3&theater#
Geometridae,尺蛾科,Hyposidra infixaria,黃鉤尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 326,#https://www.facebook.com/photo.php?fbid=755117544510704&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Hyposidra leucomela,白條黯鉤尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 327,#https://www.facebook.com/photo.php?fbid=10201364181006175&set=gm.713518375327057&type=1#
Geometridae,尺蛾科,Hyposidra talaca,突角黯鉤尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 324,#https://www.facebook.com/photo.php?fbid=368328146639954&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Idaea purpurea,擬三線波姬尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 206,#https://www.facebook.com/photo.php?fbid=783078668390769&set=gm.781035138575380&type=1#
Geometridae,尺蛾科,Iotaphora admirabilis,青輻射尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 61,#https://www.facebook.com/photo.php?fbid=454838357877890&set=oa.446128408732723&type=1&theater#
Geometridae,尺蛾科,Jankowskia taiwanensis,台灣後眉尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 228,#https://www.facebook.com/photo.php?fbid=1507303916160216&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Krananda latimarginaria,三角璃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 110,#https://www.facebook.com/photo.php?fbid=254238134718523&set=oa.463437060415711&type=3&theater#
Geometridae,尺蛾科,Krananda lucidaria,三斑璃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 107,#https://www.facebook.com/photo.php?fbid=837062222977591&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Krananda oliveomarginata,橄璃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 109,#https://www.facebook.com/photo.php?fbid=472347402779399&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Krananda semihyalina,玻璃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 108,#https://www.facebook.com/photo.php?fbid=254314934710843&set=oa.463463577079726&type=3&theater#
Geometridae,尺蛾科,Lassaba parvalbidaria,污雪雙斑尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 283,#https://www.facebook.com/photo.php?fbid=820109311341093&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Lipomelia subusta,褐雲紋姬尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 161,#https://www.facebook.com/photo.php?fbid=489953401018799&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Lophobates inchoata,褐緣黃尺蛾,臺灣尺蛾科圖鑑１ ;  Page : ,#https://www.facebook.com/photo.php?fbid=919646991384093&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Lophophelma iterans onerosus,明線垂耳尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 38,#https://www.facebook.com/photo.php?fbid=246279658908836&set=oa.649037245189024&type=1&theater#
Geometridae,尺蛾科,Luxiaria mitorrhaphes,雙斑鉤尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 114,#https://www.facebook.com/photo.php?fbid=324074347680104&set=oa.457274324284798&type=1&theater#
Geometridae,尺蛾科,Luxiaria obliquata,斜紋鉤尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 118,#https://www.facebook.com/photo.php?fbid=343856539072698&set=oa.589852744440808&type=3&theater#
Geometridae,尺蛾科,Maxates glaucaria,肖尖尾尺蛾,鞍馬山的蛾1 ;  Page : 41,#https://www.facebook.com/photo.php?fbid=223072087809446&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Melanthia catenaria mesozona,鏈黑島尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 402,#https://www.facebook.com/photo.php?fbid=246281435575325&set=oa.649039751855440&type=1&theater#
Geometridae,尺蛾科,Melanthia procellata szechuanensis,黑島尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 404,#https://www.facebook.com/photo.php?fbid=653450161338413&set=oa.461210637305020&type=1&theater#
Geometridae,尺蛾科,Menophra humeraria,,太魯閣國家公園區蛾類相之研究 ;  Page : ,#https://www.facebook.com/photo.php?fbid=246281452241990&set=oa.649039751855440&type=1&theater#
Geometridae,尺蛾科,Menophra nakajimai,中島洱尺蛾,鞍馬山的蛾1 ;  Page : 22,#https://www.facebook.com/photo.php?fbid=226749004108421&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Mesastrape fulguraria,樹形尺蛾,合歡山的蛾 ;  Page : 200,#https://www.facebook.com/photo.php?fbid=226745570775431&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Metallolophia arenaria,,,#https://www.facebook.com/photo.php?fbid=864284530255360&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Microcalicha melanosticta,,,#https://www.facebook.com/photo.php?fbid=226766544106667&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Microlygris complicata dactylotypa,四線波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 305,#http://www.facebook.com/photo.php?fbid=1755054454499&set=o.177883715557195&type=1&ref=nf#
Geometridae,尺蛾科,Milionia zonea pryeri,,,#https://www.facebook.com/photo.php?fbid=435165919835008&set=o.177883715557195&type=1&theater#
Geometridae,尺蛾科,Naxidia punctata,胡麻斑白波尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 222,#https://www.facebook.com/photo.php?fbid=452471771513656&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Ninodes splendens,緣點姬黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 47,#https://www.facebook.com/photo.php?fbid=868722709810291&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Nothomiza flavicosta,大黃齒尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 309,#https://www.facebook.com/photo.php?fbid=781593681872601&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Ophthalmitis herbidaria,鋸紋四星尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 208,#https://www.facebook.com/photo.php?fbid=478160942318319&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Opisthograptis punctilineata,刺斑黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 331,#https://www.facebook.com/photo.php?fbid=609069029204862&set=o.458912734201477&type=3&theater#
Geometridae,尺蛾科,Organopoda carnearia carnearia,須姬尺蛾,合歡山的蛾 ;  Page : 136,#https://www.facebook.com/photo.php?fbid=461357367285134&set=oa.461679043924846&type=3&theater#
Geometridae,尺蛾科,Orthocabera sericea,山茶斜帶尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 51,#https://www.facebook.com/photo.php?fbid=820094981342526&set=gm.697612936998121&type=1&theater#
Geometridae,尺蛾科,Orthocabera tinagmaria,波斜帶尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 52,#https://www.facebook.com/photo.php?fbid=329388007186218&set=oa.589852744440808&type=3&theater#
Geometridae,尺蛾科,Ourapteryx changi,張氏尾尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 385,#https://www.facebook.com/photo.php?fbid=288142394654512&set=oa.467684346657649&type=3&theater#
Geometridae,尺蛾科,Ourapteryx clara formosana,白寬尾尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 395,#https://www.facebook.com/photo.php?fbid=623804940981296&set=gm.606046459407583&type=1#
Geometridae,尺蛾科,Ourapteryx sciticaudaria,黃尾尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 386,#https://www.facebook.com/photo.php?fbid=843986368950559&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Ourapteryx similaria horishana,褐緣白短尾尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 394,#https://www.facebook.com/photo.php?fbid=359756357424487&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Ourapteryx yerburii virescens,,,#https://www.facebook.com/photo.php?fbid=796124923739532&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Palpoctenidia phoenicosoma semilauta,,,#https://www.facebook.com/photo.php?fbid=465015216916099&set=oa.463123573780393&type=3&theater#
Geometridae,尺蛾科,Paramaxates taiwana,副鋸翅青尺蛾,臺灣尺蛾科圖鑑１ ;  Page : 110,#https://www.facebook.com/photo.php?fbid=314548132081988&set=gm.733945450031536&type=1&theater#
Geometridae,尺蛾科,Parapercnia giraffata,巨星尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 129,#https://www.facebook.com/photo.php?fbid=614667495217810&set=oa.480638538695563&type=3&theater#
Geometridae,尺蛾科,Pareclipsis serrulata,淡黃尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 334,#https://www.facebook.com/photo.php?fbid=243207239155248&set=gm.599991556679740&type=1#
Geometridae,尺蛾科,Parectropis subflava,雙白斑尺蛾,臺灣尺蛾科圖鑑 2 ;  Page : 234,#https://www.facebook.com/photo.php?fbid=228961417215569&set=o.177883715557195&type=1&permPage=1#
Geometridae,尺蛾科,Pennithera subcomis,亞羽帶尺蛾,鞍馬山的蛾1 ;  Page : 315,#https://www.facebook.com/photo.php?fbid=226760447440610&set=o.177883715557195&type=1&permPage=1#
